"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF","41",0.786,0.749,0.719,0.776
2015,"MUNICIPIO","4100103",NA,0.687,NA,NA
2015,"MUNICIPIO","4100202",NA,0.667,NA,NA
2015,"MUNICIPIO","4100301",NA,0.66,NA,NA
2015,"MUNICIPIO","4100400",NA,0.699,NA,NA
2015,"MUNICIPIO","4100459",NA,0.667,NA,NA
2015,"MUNICIPIO","4128625",NA,0.678,NA,NA
2015,"MUNICIPIO","4100608",NA,0.696,NA,NA
2015,"MUNICIPIO","4100707",NA,0.676,NA,NA
2015,"MUNICIPIO","4100509",NA,0.721,NA,NA
2015,"MUNICIPIO","4100806",NA,0.708,NA,NA
2015,"MUNICIPIO","4100905",NA,0.669,NA,NA
2015,"MUNICIPIO","4101002",NA,0.709,NA,NA
2015,"MUNICIPIO","4101051",NA,0.695,NA,NA
2015,"MUNICIPIO","4101101",NA,0.725,NA,NA
2015,"MUNICIPIO","4101150",NA,0.721,NA,NA
2015,"MUNICIPIO","4101200",NA,0.687,NA,NA
2015,"MUNICIPIO","4101309",NA,0.656,NA,NA
2015,"MUNICIPIO","4101408",NA,0.748,NA,NA
2015,"MUNICIPIO","4101507",NA,0.748,NA,NA
2015,"MUNICIPIO","4101606",NA,0.723,NA,NA
2015,"MUNICIPIO","4101655",NA,0.676,NA,NA
2015,"MUNICIPIO","4101705",NA,0.704,NA,NA
2015,"MUNICIPIO","4101804",NA,0.74,NA,NA
2015,"MUNICIPIO","4101853",NA,0.67,NA,NA
2015,"MUNICIPIO","4101903",NA,0.728,NA,NA
2015,"MUNICIPIO","4102000",NA,0.729,NA,NA
2015,"MUNICIPIO","4102109",NA,0.747,NA,NA
2015,"MUNICIPIO","4102208",NA,0.736,NA,NA
2015,"MUNICIPIO","4102307",NA,0.696,NA,NA
2015,"MUNICIPIO","4102406",NA,0.727,NA,NA
2015,"MUNICIPIO","4102505",NA,0.696,NA,NA
2015,"MUNICIPIO","4102703",NA,0.744,NA,NA
2015,"MUNICIPIO","4102604",NA,0.706,NA,NA
2015,"MUNICIPIO","4102752",NA,0.681,NA,NA
2015,"MUNICIPIO","4102802",NA,0.716,NA,NA
2015,"MUNICIPIO","4102901",NA,0.667,NA,NA
2015,"MUNICIPIO","4103008",NA,0.72,NA,NA
2015,"MUNICIPIO","4103024",NA,0.7,NA,NA
2015,"MUNICIPIO","4103040",NA,0.655,NA,NA
2015,"MUNICIPIO","4103057",NA,0.67,NA,NA
2015,"MUNICIPIO","4103107",NA,0.64,NA,NA
2015,"MUNICIPIO","4103156",NA,0.697,NA,NA
2015,"MUNICIPIO","4103206",NA,0.686,NA,NA
2015,"MUNICIPIO","4103222",NA,0.742,NA,NA
2015,"MUNICIPIO","4103305",NA,0.717,NA,NA
2015,"MUNICIPIO","4103354",NA,0.701,NA,NA
2015,"MUNICIPIO","4103370",NA,0.681,NA,NA
2015,"MUNICIPIO","4103404",NA,0.693,NA,NA
2015,"MUNICIPIO","4103453",NA,0.748,NA,NA
2015,"MUNICIPIO","4103479",NA,0.692,NA,NA
2015,"MUNICIPIO","4103503",NA,0.722,NA,NA
2015,"MUNICIPIO","4103602",NA,0.721,NA,NA
2015,"MUNICIPIO","4103701",NA,0.734,NA,NA
2015,"MUNICIPIO","4103800",NA,0.725,NA,NA
2015,"MUNICIPIO","4103909",NA,0.704,NA,NA
2015,"MUNICIPIO","4103958",NA,0.63,NA,NA
2015,"MUNICIPIO","4104006",NA,0.718,NA,NA
2015,"MUNICIPIO","4104055",NA,0.681,NA,NA
2015,"MUNICIPIO","4104105",NA,0.686,NA,NA
2015,"MUNICIPIO","4104204",NA,0.745,NA,NA
2015,"MUNICIPIO","4104253",NA,0.701,NA,NA
2015,"MUNICIPIO","4104303",NA,0.757,NA,NA
2015,"MUNICIPIO","4104402",NA,0.629,NA,NA
2015,"MUNICIPIO","4104428",NA,0.635,NA,NA
2015,"MUNICIPIO","4104451",NA,0.635,NA,NA
2015,"MUNICIPIO","4104501",NA,0.706,NA,NA
2015,"MUNICIPIO","4104600",NA,0.716,NA,NA
2015,"MUNICIPIO","4104659",NA,0.728,NA,NA
2015,"MUNICIPIO","4104709",NA,0.713,NA,NA
2015,"MUNICIPIO","4104808",NA,0.782,NA,NA
2015,"MUNICIPIO","4104907",NA,0.703,NA,NA
2015,"MUNICIPIO","4105003",NA,0.678,NA,NA
2015,"MUNICIPIO","4105102",NA,0.668,NA,NA
2015,"MUNICIPIO","4105201",NA,0.573,NA,NA
2015,"MUNICIPIO","4105300",NA,0.732,NA,NA
2015,"MUNICIPIO","4105409",NA,0.74,NA,NA
2015,"MUNICIPIO","4105508",NA,0.755,NA,NA
2015,"MUNICIPIO","4105607",NA,0.718,NA,NA
2015,"MUNICIPIO","4105706",NA,0.694,NA,NA
2015,"MUNICIPIO","4105805",NA,0.733,NA,NA
2015,"MUNICIPIO","4105904",NA,0.73,NA,NA
2015,"MUNICIPIO","4106001",NA,0.668,NA,NA
2015,"MUNICIPIO","4106100",NA,0.707,NA,NA
2015,"MUNICIPIO","4106209",NA,0.681,NA,NA
2015,"MUNICIPIO","4106308",NA,0.738,NA,NA
2015,"MUNICIPIO","4106407",NA,0.759,NA,NA
2015,"MUNICIPIO","4106456",NA,0.6,NA,NA
2015,"MUNICIPIO","4106506",NA,0.723,NA,NA
2015,"MUNICIPIO","4106555",NA,0.638,NA,NA
2015,"MUNICIPIO","4106803",NA,0.664,NA,NA
2015,"MUNICIPIO","4106571",NA,0.709,NA,NA
2015,"MUNICIPIO","4106605",NA,0.717,NA,NA
2015,"MUNICIPIO","4106704",NA,0.713,NA,NA
2015,"MUNICIPIO","4106852",NA,0.666,NA,NA
2015,"MUNICIPIO","4106902",NA,0.823,NA,NA
2015,"MUNICIPIO","4107009",NA,0.656,NA,NA
2015,"MUNICIPIO","4107157",NA,0.644,NA,NA
2015,"MUNICIPIO","4107108",NA,0.723,NA,NA
2015,"MUNICIPIO","4107124",NA,0.608,NA,NA
2015,"MUNICIPIO","4107207",NA,0.767,NA,NA
