"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",41,"11163018",10444526,5130994,5313532,2391500,5800774,2252252,1173953,2938969,1200610
2015,"MUNICIPIO",4100103,"7823",7764,3916,3848,1667,4104,1993,800,2016,1032
2015,"MUNICIPIO",4100202,"6333",6376,3298,3078,1769,3008,1599,825,1485,768
2015,"MUNICIPIO",4100301,"8983",8270,4306,3964,2092,4358,1820,1036,2040,888
2015,"MUNICIPIO",4100400,"112870",103204,51136,52068,28522,58563,16119,13890,29740,8438
2015,"MUNICIPIO",4100459,"3341",4306,2202,2104,1062,2235,1009,493,1119,492
2015,"MUNICIPIO",4100509,"21744",20516,10157,10359,4408,10577,5531,2195,5372,2792
2015,"MUNICIPIO",4100608,"14518",13663,6842,6821,3037,7383,3243,1491,3667,1663
2015,"MUNICIPIO",4100707,"10285",10179,5129,5050,2238,5459,2482,1056,2710,1284
2015,"MUNICIPIO",4100806,"11057",10283,5205,5078,2200,5422,2661,1021,2692,1365
2015,"MUNICIPIO",4100905,"5953",5443,2757,2686,1414,3023,1006,694,1487,505
2015,"MUNICIPIO",4101002,"18591",17308,8586,8722,4182,9420,3706,2032,4770,1920
2015,"MUNICIPIO",4101051,"2915",2874,1439,1435,649,1445,780,337,706,392
2015,"MUNICIPIO",4101101,"20876",20610,10041,10569,4271,10969,5370,2114,5596,2859
2015,"MUNICIPIO",4101150,"2964",2859,1457,1402,618,1552,689,297,755,350
2015,"MUNICIPIO",4101200,"19416",18891,9349,9542,4850,9399,4642,2376,4742,2424
2015,"MUNICIPIO",4101309,"7578",7351,3857,3494,1711,3765,1875,833,1787,874
2015,"MUNICIPIO",4101408,"130430",120919,58682,62237,26003,66766,28150,12878,33998,15361
2015,"MUNICIPIO",4101507,"115412",104150,51039,53111,21971,59025,23154,10830,29749,12532
2015,"MUNICIPIO",4101606,"27547",25855,12949,12906,6807,14286,4762,3338,7193,2375
2015,"MUNICIPIO",4101655,"3426",3561,1764,1797,788,1792,981,407,895,495
2015,"MUNICIPIO",4101705,"14014",13419,6824,6595,2880,7388,3151,1356,3622,1617
2015,"MUNICIPIO",4101804,"133428",119123,59606,59517,30061,69663,19399,14746,34749,10022
2015,"MUNICIPIO",4101853,"2359",2453,1229,1224,511,1248,694,276,625,323
2015,"MUNICIPIO",4101903,"16212",16354,8012,8342,3557,8485,4312,1704,4337,2301
2015,"MUNICIPIO",4102000,"34027",33025,16178,16847,6731,17513,8781,3282,9006,4559
2015,"MUNICIPIO",4102109,"25976",24698,12142,12556,4945,13280,6473,2452,6669,3435
2015,"MUNICIPIO",4102208,"4004",3913,1970,1943,748,2086,1079,349,1040,554
2015,"MUNICIPIO",4102307,"12337",11300,5721,5579,2645,6398,2257,1286,3133,1160
2015,"MUNICIPIO",4102406,"32639",32184,15551,16633,7051,17128,8005,3511,8855,4267
2015,"MUNICIPIO",4102505,"12487",12656,6351,6305,2752,6413,3491,1337,3207,1761
2015,"MUNICIPIO",4102604,"10231",9735,4794,4941,2326,5243,2166,1144,2691,1106
2015,"MUNICIPIO",4102703,"2821",2727,1385,1342,492,1425,810,246,702,394
2015,"MUNICIPIO",4102752,"3848",3945,2018,1927,964,1896,1085,488,923,516
2015,"MUNICIPIO",4102802,"15612",15079,7317,7762,3112,7828,4139,1563,3999,2200
2015,"MUNICIPIO",4102901,"16480",15880,8150,7730,4596,8389,2895,2229,4097,1404
2015,"MUNICIPIO",4103008,"4478",4568,2280,2288,902,2478,1188,451,1239,598
2015,"MUNICIPIO",4103024,"2716",2764,1402,1362,689,1459,616,341,715,306
2015,"MUNICIPIO",4103040,"6683",6554,3346,3208,1791,3566,1197,901,1720,587
2015,"MUNICIPIO",4103057,"7968",7911,3994,3917,2059,3840,2012,1009,1919,989
2015,"MUNICIPIO",4103107,"12159",10987,5552,5435,3090,5715,2182,1569,2779,1087
2015,"MUNICIPIO",4103156,"3777",3796,1969,1827,915,1810,1071,444,864,519
2015,"MUNICIPIO",4103206,"6944",6561,3227,3334,1523,3525,1513,761,1782,791
2015,"MUNICIPIO",4103222,"3365",3293,1638,1655,664,1747,882,340,874,441
2015,"MUNICIPIO",4103305,"7497",7878,3933,3945,1491,4042,2345,742,1989,1214
2015,"MUNICIPIO",4103354,"5742",5735,2939,2796,1327,3028,1380,642,1499,655
2015,"MUNICIPIO",4103370,"3037",3209,1603,1606,658,1713,838,331,850,425
2015,"MUNICIPIO",4103404,"2873",2695,1376,1319,570,1493,632,263,723,333
2015,"MUNICIPIO",4103453,"16611",14662,7345,7317,3441,8726,2495,1660,4366,1291
2015,"MUNICIPIO",4103479,"4288",4290,2170,2120,857,2227,1206,408,1108,604
2015,"MUNICIPIO",4103503,"8505",8069,4051,4018,1788,4278,2003,873,2144,1001
2015,"MUNICIPIO",4103602,"25170",23886,11648,12238,5073,12707,6106,2462,6465,3311
2015,"MUNICIPIO",4103701,"103822",96733,47299,49434,21270,53871,21592,10462,27369,11603
2015,"MUNICIPIO",4103800,"7708",7236,3679,3557,1469,3898,1869,704,1901,952
2015,"MUNICIPIO",4103909,"15247",15394,7647,7747,3620,7931,3843,1749,4072,1926
2015,"MUNICIPIO",4103958,"4096",4076,2136,1940,1183,2103,790,569,1015,356
2015,"MUNICIPIO",4104006,"41821",38769,19229,19540,10339,22008,6422,5152,11096,3292
2015,"MUNICIPIO",4104055,"4259",4407,2215,2192,1127,2349,931,563,1161,468
2015,"MUNICIPIO",4104105,"7693",7125,3676,3449,2037,3860,1228,991,1858,600
2015,"MUNICIPIO",4104204,"124098",112377,55660,56717,26246,64578,21553,12952,32440,11325
2015,"MUNICIPIO",4104253,"27517",24843,12507,12336,6494,14097,4252,3128,7002,2206
2015,"MUNICIPIO",4104303,"92930",87194,42013,45181,19163,48938,19093,9483,25350,10348
2015,"MUNICIPIO",4104402,"16339",16655,8543,8112,4422,8426,3807,2256,4061,1795
2015,"MUNICIPIO",4104428,"15822",14983,7551,7432,4225,8065,2693,2105,4055,1272
