"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF",41,70839,0,0,8723,62116,2404,13895,20379,8377,17061,40449,30379,3430,0,1267,943,324,491,8,1090,5,6,112,5,1714,30,3,7,57,50,97,95,2,8,33,37,5,7
2015,"MUNICIPIO",410000,102,0,0,63,39,2,0,5,5,27,87,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410010,74,0,0,8,66,1,9,32,10,14,47,27,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410020,58,0,0,8,50,0,13,21,5,11,32,26,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410030,49,0,0,8,41,2,9,16,5,9,26,23,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410040,650,0,0,130,520,29,126,170,64,131,389,261,37,0,9,5,4,7,0,8,0,0,0,0,16,0,0,1,0,1,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",410045,25,0,0,6,19,0,6,9,2,2,19,6,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410050,174,0,0,17,157,22,24,50,24,37,98,76,8,0,3,3,0,1,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410060,104,0,0,12,92,7,18,32,10,25,65,39,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410070,81,0,0,8,73,5,23,18,8,19,47,34,3,0,2,1,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410080,64,0,0,8,56,4,11,19,9,13,39,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410090,34,0,0,5,29,2,5,13,2,7,18,16,4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",410100,132,0,0,11,121,2,31,30,19,39,83,49,2,0,4,3,1,1,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410105,29,0,0,3,26,0,7,12,4,3,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410110,208,0,0,18,190,4,31,66,32,57,121,87,11,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410115,22,0,0,1,21,2,4,7,0,8,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410120,156,0,0,15,141,12,18,38,19,54,92,64,8,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410130,71,0,0,7,64,3,18,20,14,9,40,31,5,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410140,866,0,0,87,779,29,135,333,119,163,486,380,42,0,19,14,5,4,0,19,0,0,0,0,23,0,0,0,1,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",410150,768,0,0,88,680,20,121,226,110,203,433,335,39,0,19,15,4,7,0,17,1,0,1,0,26,0,0,1,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",410160,185,0,0,25,160,3,29,69,21,38,98,87,10,0,5,3,2,4,0,4,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410165,30,0,0,8,22,1,6,7,2,6,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410170,118,0,0,15,103,5,27,35,12,24,74,44,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",410180,680,0,0,127,553,34,147,140,49,183,428,252,36,0,16,13,3,5,0,13,0,0,3,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0
