"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"UF",41,10248484,7247330
2015,"MUNICIPIO",410010,7823,1100
2015,"MUNICIPIO",410020,3713,NA
2015,"MUNICIPIO",410030,5145,1606
2015,"MUNICIPIO",410040,106862,39924
2015,"MUNICIPIO",410045,2631,NA
2015,"MUNICIPIO",410050,17886,7344
2015,"MUNICIPIO",412862,2764,666
2015,"MUNICIPIO",410060,13845,7914
2015,"MUNICIPIO",410070,10106,5390
2015,"MUNICIPIO",410080,10965,NA
2015,"MUNICIPIO",410090,5092,NA
2015,"MUNICIPIO",410100,17295,11539
2015,"MUNICIPIO",410105,2641,NA
2015,"MUNICIPIO",410110,20876,11481
2015,"MUNICIPIO",410115,2962,NA
2015,"MUNICIPIO",410120,17836,NA
2015,"MUNICIPIO",410130,2528,NA
2015,"MUNICIPIO",410140,130404,91419
2015,"MUNICIPIO",410150,115389,80362
2015,"MUNICIPIO",410160,25366,16653
2015,"MUNICIPIO",410165,1766,NA
2015,"MUNICIPIO",410170,13890,4145
2015,"MUNICIPIO",410180,133402,80166
2015,"MUNICIPIO",410185,1296,NA
2015,"MUNICIPIO",410190,16113,9981
2015,"MUNICIPIO",410200,34021,11445
2015,"MUNICIPIO",410210,25971,19198
2015,"MUNICIPIO",410220,4003,NA
2015,"MUNICIPIO",410230,12335,2633
2015,"MUNICIPIO",410240,28785,28785
2015,"MUNICIPIO",410250,11295,3387
2015,"MUNICIPIO",410260,7494,NA
2015,"MUNICIPIO",410270,2375,NA
2015,"MUNICIPIO",410275,1932,NA
2015,"MUNICIPIO",410280,15609,6522
2015,"MUNICIPIO",410290,10936,NA
2015,"MUNICIPIO",410300,4165,NA
2015,"MUNICIPIO",410302,1241,NA
2015,"MUNICIPIO",410304,3100,NA
2015,"MUNICIPIO",410305,6515,NA
2015,"MUNICIPIO",410310,10130,3636
2015,"MUNICIPIO",410315,1398,NA
2015,"MUNICIPIO",410320,6889,NA
